english_name,scientific_name
Red-billed Malkoha,Zanclostomus javanicus
Chestnut-breasted Malkoha,Phaenicophaeus curvirostris
Mentawai Malkoha,Phaenicophaeus oeneicaudus
Chestnut-bellied Malkoha,Phaenicophaeus sumatranus
Red-faced Malkoha,Phaenicophaeus pyrrhocephalus
Blue-faced Malkoha,Phaenicophaeus viridirostris
Black-bellied Malkoha,Phaenicophaeus diardi
Green-billed Malkoha,Phaenicophaeus tristis
Yellow-billed Malkoha,Rhamphococcyx calyorhynchus
Scale-feathered Malkoha,Dasylophus cumingi
Rough-crested Malkoha,Dasylophus superciliosus
Chestnut-winged Cuckoo,Clamator coromandus
Great Spotted Cuckoo,Clamator glandarius
Levaillant's Cuckoo,Clamator levaillantii
Jacobin Cuckoo,Clamator jacobinus
Little Cuckoo,Coccycua minuta
